"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-311M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.033533506, [-141347, -117359]
2023-09-24_04:54:00.033632134, [-141431, -117263]
2023-09-24_04:54:00.033730762, [-141424, -117311]
2023-09-24_04:54:00.033829390, [-141442, -117269]
2023-09-24_04:54:00.033928018, [-141526, -117230]
2023-09-24_04:54:00.034026646, [-141601, -117348]
2023-09-24_04:54:00.034125274, [-141565, -117443]
2023-09-24_04:54:00.034223902, [-141430, -117478]
2023-09-24_04:54:00.034322530, [-141491, -117426]
2023-09-24_04:54:00.034421158, [-141529, -117319]
2023-09-24_04:54:00.034519786, [-141430, -117379]
2023-09-24_04:54:00.034618414, [-141348, -117402]
2023-09-24_04:54:00.034717041, [-141499, -117381]
2023-09-24_04:54:00.034815669, [-141628, -117443]
2023-09-24_04:54:00.034914297, [-141577, -117373]
2023-09-24_04:54:00.035012925, [-141450, -117269]
2023-09-24_04:54:00.035111553, [-141515, -117376]
2023-09-24_04:54:00.035210181, [-141709, -117399]
2023-09-24_04:54:00.035308809, [-141734, -117323]
2023-09-24_04:54:00.035407437, [-141653, -117363]
2023-09-24_04:54:00.035506065, [-141641, -117382]
2023-09-24_04:54:00.035604693, [-141705, -117478]
2023-09-24_04:54:00.035703321, [-141702, -117483]
2023-09-24_04:54:00.035801949, [-141805, -117441]
2023-09-24_04:54:00.035900577, [-141994, -117443]
2023-09-24_04:54:00.035999205, [-142016, -117381]
2023-09-24_04:54:00.036097833, [-141916, -117413]
2023-09-24_04:54:00.036196461, [-141937, -117492]
2023-09-24_04:54:00.036295089, [-142027, -117470]
2023-09-24_04:54:00.036393717, [-142161, -117444]
2023-09-24_04:54:00.036492345, [-142170, -117564]
2023-09-24_04:54:00.036590973, [-142079, -117632]
2023-09-24_04:54:00.036689601, [-142064, -117635]
2023-09-24_04:54:00.036788229, [-142093, -117610]
2023-09-24_04:54:00.036886857, [-142009, -117544]
2023-09-24_04:54:00.036985485, [-141808, -117653]
2023-09-24_04:54:00.037084113, [-141663, -117520]
2023-09-24_04:54:00.037182740, [-141706, -117330]
2023-09-24_04:54:00.037281368, [-141687, -117366]
2023-09-24_04:54:00.037379996, [-141506, -117383]
2023-09-24_04:54:00.037478624, [-141519, -117372]
2023-09-24_04:54:00.037577252, [-141528, -117457]
2023-09-24_04:54:00.037675880, [-141384, -117446]
2023-09-24_04:54:00.037774508, [-141236, -117345]
2023-09-24_04:54:00.037873136, [-141173, -117474]
2023-09-24_04:54:00.037971764, [-141063, -117585]
2023-09-24_04:54:00.038070392, [-140912, -117483]
2023-09-24_04:54:00.038169020, [-140837, -117347]
2023-09-24_04:54:00.038267648, [-140753, -117367]
2023-09-24_04:54:00.038366276, [-140632, -117477]
2023-09-24_04:54:00.038464904, [-140585, -117413]
2023-09-24_04:54:00.038563532, [-140639, -117266]
2023-09-24_04:54:00.038662160, [-140632, -117343]
2023-09-24_04:54:00.038760788, [-140484, -117407]
2023-09-24_04:54:00.038859416, [-140315, -117228]
2023-09-24_04:54:00.038958044, [-140243, -117143]
2023-09-24_04:54:00.039056672, [-140341, -117220]
2023-09-24_04:54:00.039155300, [-140450, -117270]
2023-09-24_04:54:00.039253928, [-140443, -117289]
2023-09-24_04:54:00.039352556, [-140354, -117274]
2023-09-24_04:54:00.039451184, [-140280, -117311]
2023-09-24_04:54:00.039549812, [-140363, -117361]
2023-09-24_04:54:00.039648440, [-140405, -117439]
2023-09-24_04:54:00.039747067, [-140412, -117389]
2023-09-24_04:54:00.039845695, [-140426, -117363]
2023-09-24_04:54:00.039944323, [-140501, -117368]
2023-09-24_04:54:00.040042951, [-140534, -117269]
2023-09-24_04:54:00.040141579, [-140487, -117289]
2023-09-24_04:54:00.040240207, [-140621, -117302]
2023-09-24_04:54:00.040338835, [-140721, -117375]
2023-09-24_04:54:00.040437463, [-140752, -117259]
2023-09-24_04:54:00.040536091, [-140767, -117087]
2023-09-24_04:54:00.040634719, [-140687, -117204]
2023-09-24_04:54:00.040733347, [-140694, -117242]
2023-09-24_04:54:00.040831975, [-140829, -117225]
2023-09-24_04:54:00.040930603, [-140982, -117217]
2023-09-24_04:54:00.041029231, [-141100, -117227]
2023-09-24_04:54:00.041127859, [-141144, -117163]
2023-09-24_04:54:00.041226487, [-141037, -117072]
2023-09-24_04:54:00.041325115, [-141142, -117200]
2023-09-24_04:54:00.041423743, [-141368, -117266]
2023-09-24_04:54:00.041522371, [-141503, -117280]
2023-09-24_04:54:00.041620999, [-141464, -117225]
2023-09-24_04:54:00.041719627, [-141563, -117076]
2023-09-24_04:54:00.041818255, [-141814, -117131]
2023-09-24_04:54:00.041916883, [-141997, -117289]
2023-09-24_04:54:00.042015511, [-142005, -117338]
2023-09-24_04:54:00.042114139, [-141851, -117229]
2023-09-24_04:54:00.042212766, [-141850, -117225]
2023-09-24_04:54:00.042311394, [-141800, -117402]
2023-09-24_04:54:00.042410022, [-141852, -117370]
2023-09-24_04:54:00.042508650, [-142034, -117295]
2023-09-24_04:54:00.042607278, [-142049, -117324]
2023-09-24_04:54:00.042705906, [-141921, -117318]
2023-09-24_04:54:00.042804534, [-141868, -117381]
2023-09-24_04:54:00.042903162, [-141915, -117303]
2023-09-24_04:54:00.043001790, [-141767, -117193]
2023-09-24_04:54:00.043100418, [-141726, -117153]
2023-09-24_04:54:00.043199046, [-141810, -117217]
2023-09-24_04:54:00.043297674, [-141735, -117346]
2023-09-24_04:54:00.043396302, [-141613, -117299]
2023-09-24_04:54:00.043494930, [-141692, -117363]
2023-09-24_04:54:00.043593558, [-141852, -117475]
2023-09-24_04:54:00.043692186, [-141869, -117437]
2023-09-24_04:54:00.043790814, [-141857, -117394]
2023-09-24_04:54:00.043889442, [-141876, -117325]
2023-09-24_04:54:00.043988070, [-141909, -117245]
2023-09-24_04:54:00.044086698, [-141939, -117263]
2023-09-24_04:54:00.044185326, [-141969, -117220]
2023-09-24_04:54:00.044283954, [-142023, -117235]
2023-09-24_04:54:00.044382582, [-141990, -117311]
2023-09-24_04:54:00.044481210, [-141874, -117316]
2023-09-24_04:54:00.044579838, [-141740, -117273]
2023-09-24_04:54:00.044678465, [-141791, -117336]
2023-09-24_04:54:00.044777093, [-141893, -117471]
2023-09-24_04:54:00.044875721, [-141983, -117531]
2023-09-24_04:54:00.044974349, [-142049, -117507]
2023-09-24_04:54:00.045072977, [-141853, -117452]
2023-09-24_04:54:00.045171605, [-141805, -117252]
2023-09-24_04:54:00.045270233, [-141858, -117166]
2023-09-24_04:54:00.045368861, [-141934, -117313]
2023-09-24_04:54:00.045467489, [-142065, -117324]
2023-09-24_04:54:00.045566117, [-142039, -117209]
2023-09-24_04:54:00.045664745, [-142101, -117016]
2023-09-24_04:54:00.045763373, [-142248, -117104]
2023-09-24_04:54:00.045862001, [-142124, -117337]
2023-09-24_04:54:00.045960629, [-141932, -117358]
2023-09-24_04:54:00.046059257, [-142037, -117368]
2023-09-24_04:54:00.046157885, [-142284, -117351]
2023-09-24_04:54:00.046256513, [-142300, -117303]
2023-09-24_04:54:00.046355141, [-142043, -117437]
2023-09-24_04:54:00.046453769, [-141880, -117445]
2023-09-24_04:54:00.046552397, [-141925, -117319]
2023-09-24_04:54:00.046651025, [-141875, -117316]
2023-09-24_04:54:00.046749653, [-141708, -117373]
2023-09-24_04:54:00.046848281, [-141541, -117406]
2023-09-24_04:54:00.046946909, [-141405, -117340]
2023-09-24_04:54:00.047045537, [-141296, -117239]
2023-09-24_04:54:00.047144164, [-141272, -117249]
2023-09-24_04:54:00.047242792, [-141168, -117384]
2023-09-24_04:54:00.047341420, [-140984, -117422]
2023-09-24_04:54:00.047440048, [-140801, -117410]
2023-09-24_04:54:00.047538676, [-140726, -117450]
2023-09-24_04:54:00.047637304, [-140787, -117430]
2023-09-24_04:54:00.047735932, [-140693, -117513]
2023-09-24_04:54:00.047834560, [-140548, -117488]
2023-09-24_04:54:00.047933188, [-140472, -117331]
2023-09-24_04:54:00.048031816, [-140405, -117182]
2023-09-24_04:54:00.048130444, [-140408, -117294]
2023-09-24_04:54:00.048229072, [-140387, -117416]
2023-09-24_04:54:00.048327700, [-140305, -117488]
2023-09-24_04:54:00.048426328, [-140433, -117568]
2023-09-24_04:54:00.048524956, [-140546, -117615]
2023-09-24_04:54:00.048623584, [-140383, -117729]
2023-09-24_04:54:00.048722212, [-140278, -117664]
2023-09-24_04:54:00.048820840, [-140185, -117579]
2023-09-24_04:54:00.048919468, [-139942, -117559]
2023-09-24_04:54:00.049018096, [-139992, -117562]
2023-09-24_04:54:00.049116724, [-140089, -117644]
2023-09-24_04:54:00.049215352, [-140057, -117704]
2023-09-24_04:54:00.049313980, [-140101, -117746]
2023-09-24_04:54:00.049412608, [-140209, -117723]
2023-09-24_04:54:00.049511236, [-140244, -117600]
2023-09-24_04:54:00.049609863, [-140194, -117541]
2023-09-24_04:54:00.049708491, [-140134, -117659]
2023-09-24_04:54:00.049807119, [-140026, -117727]
2023-09-24_04:54:00.049905747, [-139944, -117641]
2023-09-24_04:54:00.050004375, [-139958, -117600]
2023-09-24_04:54:00.050103003, [-140063, -117753]
