"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-315M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.040240207, [12603, -81946]
2023-09-24_04:54:00.040338835, [12449, -81833]
2023-09-24_04:54:00.040437463, [12428, -81891]
2023-09-24_04:54:00.040536091, [12437, -81877]
2023-09-24_04:54:00.040634719, [12539, -81842]
2023-09-24_04:54:00.040733347, [12517, -81861]
2023-09-24_04:54:00.040831975, [12400, -81887]
2023-09-24_04:54:00.040930603, [12309, -81916]
2023-09-24_04:54:00.041029231, [12319, -81811]
2023-09-24_04:54:00.041127859, [12219, -81816]
2023-09-24_04:54:00.041226487, [12031, -81818]
2023-09-24_04:54:00.041325115, [11983, -81756]
2023-09-24_04:54:00.041423743, [11948, -81865]
2023-09-24_04:54:00.041522371, [11947, -81968]
2023-09-24_04:54:00.041620999, [11875, -81999]
2023-09-24_04:54:00.041719627, [11796, -81967]
2023-09-24_04:54:00.041818255, [11865, -81918]
2023-09-24_04:54:00.041916883, [11928, -81938]
2023-09-24_04:54:00.042015511, [11878, -81958]
2023-09-24_04:54:00.042114139, [11862, -81954]
2023-09-24_04:54:00.042212766, [11897, -82073]
2023-09-24_04:54:00.042311394, [11869, -82153]
2023-09-24_04:54:00.042410022, [11658, -82078]
2023-09-24_04:54:00.042508650, [11580, -81987]
2023-09-24_04:54:00.042607278, [11752, -82005]
2023-09-24_04:54:00.042705906, [11863, -82029]
2023-09-24_04:54:00.042804534, [11812, -81953]
2023-09-24_04:54:00.042903162, [11661, -81841]
2023-09-24_04:54:00.043001790, [11474, -81730]
2023-09-24_04:54:00.043100418, [11417, -81682]
2023-09-24_04:54:00.043199046, [11529, -81780]
2023-09-24_04:54:00.043297674, [11430, -81910]
2023-09-24_04:54:00.043396302, [11323, -82006]
2023-09-24_04:54:00.043494930, [11380, -82065]
2023-09-24_04:54:00.043593558, [11464, -82164]
2023-09-24_04:54:00.043692186, [11423, -82168]
2023-09-24_04:54:00.043790814, [11400, -82004]
2023-09-24_04:54:00.043889442, [11578, -81979]
2023-09-24_04:54:00.043988070, [11663, -82064]
2023-09-24_04:54:00.044086698, [11571, -82046]
2023-09-24_04:54:00.044185326, [11463, -81962]
2023-09-24_04:54:00.044283954, [11536, -81943]
2023-09-24_04:54:00.044382582, [11579, -81778]
2023-09-24_04:54:00.044481210, [11413, -81779]
2023-09-24_04:54:00.044579838, [11376, -81936]
2023-09-24_04:54:00.044678465, [11402, -82035]
2023-09-24_04:54:00.044777093, [11506, -82057]
2023-09-24_04:54:00.044875721, [11564, -82071]
2023-09-24_04:54:00.044974349, [11356, -82117]
2023-09-24_04:54:00.045072977, [11193, -82127]
2023-09-24_04:54:00.045171605, [11060, -82105]
2023-09-24_04:54:00.045270233, [10975, -82066]
2023-09-24_04:54:00.045368861, [10985, -81934]
2023-09-24_04:54:00.045467489, [10866, -81887]
2023-09-24_04:54:00.045566117, [10841, -82015]
2023-09-24_04:54:00.045664745, [11062, -82028]
2023-09-24_04:54:00.045763373, [11094, -81988]
2023-09-24_04:54:00.045862001, [10927, -82099]
2023-09-24_04:54:00.045960629, [10757, -82266]
2023-09-24_04:54:00.046059257, [10612, -82282]
2023-09-24_04:54:00.046157885, [10582, -82185]
2023-09-24_04:54:00.046256513, [10546, -82111]
2023-09-24_04:54:00.046355141, [10554, -82120]
2023-09-24_04:54:00.046453769, [10585, -82145]
