"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-306U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.038464904, [-7, -3570]
2023-09-24_04:54:00.038563532, [6, -3566]
2023-09-24_04:54:00.038662160, [-86, -3612]
2023-09-24_04:54:00.038760788, [-262, -3675]
2023-09-24_04:54:00.038859416, [-515, -3651]
2023-09-24_04:54:00.038958044, [-849, -3563]
2023-09-24_04:54:00.039056672, [-586, -3715]
2023-09-24_04:54:00.039155300, [22, -3891]
2023-09-24_04:54:00.039253928, [-152, -3799]
2023-09-24_04:54:00.039352556, [-680, -3673]
2023-09-24_04:54:00.039451184, [-640, -3599]
2023-09-24_04:54:00.039549812, [-215, -3496]
2023-09-24_04:54:00.039648440, [-154, -3512]
2023-09-24_04:54:00.039747067, [-513, -3681]
2023-09-24_04:54:00.039845695, [-421, -3848]
2023-09-24_04:54:00.039944323, [78, -3856]
2023-09-24_04:54:00.040042951, [268, -3688]
2023-09-24_04:54:00.040141579, [-114, -3547]
2023-09-24_04:54:00.040240207, [-627, -3547]
2023-09-24_04:54:00.040338835, [-588, -3534]
2023-09-24_04:54:00.040437463, [-485, -3504]
2023-09-24_04:54:00.040536091, [-415, -3505]
2023-09-24_04:54:00.040634719, [-250, -3511]
2023-09-24_04:54:00.040733347, [-392, -3556]
2023-09-24_04:54:00.040831975, [-250, -3550]
2023-09-24_04:54:00.040930603, [74, -3588]
2023-09-24_04:54:00.041029231, [184, -3619]
2023-09-24_04:54:00.041127859, [308, -3627]
2023-09-24_04:54:00.041226487, [202, -3667]
2023-09-24_04:54:00.041325115, [27, -3658]
2023-09-24_04:54:00.041423743, [19, -3639]
2023-09-24_04:54:00.041522371, [-139, -3687]
2023-09-24_04:54:00.041620999, [31, -3693]
2023-09-24_04:54:00.041719627, [394, -3573]
2023-09-24_04:54:00.041818255, [504, -3586]
2023-09-24_04:54:00.041916883, [740, -3719]
2023-09-24_04:54:00.042015511, [775, -3606]
2023-09-24_04:54:00.042114139, [548, -3465]
2023-09-24_04:54:00.042212766, [428, -3536]
2023-09-24_04:54:00.042311394, [321, -3601]
2023-09-24_04:54:00.042410022, [328, -3579]
2023-09-24_04:54:00.042508650, [208, -3589]
2023-09-24_04:54:00.042607278, [-205, -3626]
2023-09-24_04:54:00.042705906, [-413, -3610]
2023-09-24_04:54:00.042804534, [-262, -3595]
