"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.025741897, [493, -16]
2023-09-24_04:54:00.025840525, [389, -29]
2023-09-24_04:54:00.025939153, [230, -49]
2023-09-24_04:54:00.026037781, [143, -68]
2023-09-24_04:54:00.026136409, [604, -103]
2023-09-24_04:54:00.026235037, [904, -202]
2023-09-24_04:54:00.026333665, [526, -203]
2023-09-24_04:54:00.026432293, [91, -140]
2023-09-24_04:54:00.026530921, [42, -13]
2023-09-24_04:54:00.026629549, [524, 59]
2023-09-24_04:54:00.026728177, [746, -4]
2023-09-24_04:54:00.026826805, [353, -42]
2023-09-24_04:54:00.026925433, [-21, -67]
2023-09-24_04:54:00.027024061, [-87, -73]
2023-09-24_04:54:00.027122689, [110, -25]
2023-09-24_04:54:00.027221317, [-24, -30]
2023-09-24_04:54:00.027319944, [-287, -25]
2023-09-24_04:54:00.027418572, [-219, -99]
2023-09-24_04:54:00.027517200, [80, -313]
2023-09-24_04:54:00.027615828, [-155, -321]
2023-09-24_04:54:00.027714456, [-889, -330]
2023-09-24_04:54:00.027813084, [-1126, -394]
2023-09-24_04:54:00.027911712, [-872, -271]
2023-09-24_04:54:00.028010340, [-632, -202]
2023-09-24_04:54:00.028108968, [-284, -209]
2023-09-24_04:54:00.028207596, [-2, -197]
2023-09-24_04:54:00.028306224, [-230, -117]
2023-09-24_04:54:00.028404852, [-873, -105]
2023-09-24_04:54:00.028503480, [-1439, -106]
2023-09-24_04:54:00.028602108, [-1106, -110]
2023-09-24_04:54:00.028700736, [-439, -188]
2023-09-24_04:54:00.028799364, [-399, -239]
2023-09-24_04:54:00.028897992, [-890, -227]
2023-09-24_04:54:00.028996620, [-1396, -222]
2023-09-24_04:54:00.029095248, [-1404, -235]
2023-09-24_04:54:00.029193876, [-941, -235]
2023-09-24_04:54:00.029292504, [-557, -97]
2023-09-24_04:54:00.029391132, [-527, 110]
2023-09-24_04:54:00.029489760, [-620, 84]
2023-09-24_04:54:00.029588388, [-641, -62]
2023-09-24_04:54:00.029687016, [-550, -158]
2023-09-24_04:54:00.029785643, [-573, -227]
2023-09-24_04:54:00.029884271, [-638, -183]
2023-09-24_04:54:00.029982899, [-772, -153]
2023-09-24_04:54:00.030081527, [-633, -235]
2023-09-24_04:54:00.030180155, [-142, -201]
2023-09-24_04:54:00.030278783, [535, -139]
2023-09-24_04:54:00.030377411, [1270, -133]
2023-09-24_04:54:00.030476039, [1605, -120]
2023-09-24_04:54:00.030574667, [1567, -112]
2023-09-24_04:54:00.030673295, [1226, -143]
2023-09-24_04:54:00.030771923, [849, -82]
2023-09-24_04:54:00.030870551, [946, 41]
2023-09-24_04:54:00.030969179, [1483, 120]
2023-09-24_04:54:00.031067807, [2122, 41]
2023-09-24_04:54:00.031166435, [2676, -128]
2023-09-24_04:54:00.031265063, [2840, -228]
2023-09-24_04:54:00.031363691, [2722, -219]
2023-09-24_04:54:00.031462319, [2503, -166]
2023-09-24_04:54:00.031560947, [2624, -108]
2023-09-24_04:54:00.031659575, [3127, -95]
2023-09-24_04:54:00.031758203, [3472, -116]
2023-09-24_04:54:00.031856831, [3513, 28]
2023-09-24_04:54:00.031955459, [3173, 92]
2023-09-24_04:54:00.032054087, [3036, 46]
2023-09-24_04:54:00.032152715, [3349, 5]
2023-09-24_04:54:00.032251342, [3573, 122]
2023-09-24_04:54:00.032349970, [3842, 88]
2023-09-24_04:54:00.032448598, [3846, -128]
2023-09-24_04:54:00.032547226, [3390, -126]
2023-09-24_04:54:00.032645854, [3518, -23]
2023-09-24_04:54:00.032744482, [3947, -9]
2023-09-24_04:54:00.032843110, [3714, -119]
2023-09-24_04:54:00.032941738, [3411, -117]
2023-09-24_04:54:00.033040366, [3707, -73]
2023-09-24_04:54:00.033138994, [3936, -99]
2023-09-24_04:54:00.033237622, [3898, -149]
2023-09-24_04:54:00.033336250, [3596, -161]
